treat,age,edu,black,hispanic,married,nodegree,re75,re78,sample
1,37,11,1,0,1,1,0,9930.046,nsw
1,22,9,0,1,0,1,0,3595.894,nsw
1,30,12,1,0,0,0,0,24909.45,nsw
1,27,11,1,0,0,1,0,7506.146,nsw
1,33,8,1,0,0,1,0,289.7899,nsw
1,22,9,1,0,0,1,0,4056.494,nsw
1,23,12,1,0,0,0,0,0,nsw
1,32,11,1,0,0,1,0,8472.158,nsw
1,22,16,1,0,0,0,0,2164.022,nsw
1,33,12,0,0,1,0,0,12418.07,nsw
1,19,9,1,0,0,1,0,8173.908,nsw
1,21,13,1,0,0,0,0,17094.64,nsw
1,18,8,1,0,0,1,0,0,nsw
1,27,10,1,0,1,1,0,18739.93,nsw
1,17,7,1,0,0,1,0,3023.879,nsw
1,19,10,1,0,0,1,0,3228.503,nsw
1,27,13,1,0,0,0,0,14581.86,nsw
1,23,10,1,0,0,1,0,7693.4,nsw
1,40,12,1,0,0,0,0,10804.32,nsw
1,26,12,1,0,0,0,0,10747.35,nsw
1,23,11,1,0,0,1,0,0,nsw
1,41,14,0,0,0,0,0,5149.501,nsw
1,38,9,0,0,0,1,0,6408.95,nsw
1,24,11,1,0,0,1,0,1991.4,nsw
1,33,11,1,0,0,1,7867.916,6281.433,nsw
1,18,10,1,0,0,1,0,11163.17,nsw
1,29,11,1,0,1,1,0,9642.999,nsw
1,25,11,1,0,0,1,0,9897.049,nsw
1,27,10,0,1,0,1,0,11142.87,nsw
1,17,10,1,0,0,1,0,16218.04,nsw
1,24,11,1,0,0,1,0,995.7002,nsw
1,17,10,1,0,0,1,0,0,nsw
1,26,11,1,0,1,1,2754.646,26372.28,nsw
1,48,4,1,0,0,1,0,6551.592,nsw
1,25,11,1,0,1,1,0,1574.424,nsw
1,20,12,1,0,0,0,0,0,nsw
1,25,12,1,0,0,0,0,3191.753,nsw
1,42,14,1,0,0,0,0,20505.93,nsw
1,25,5,1,0,0,1,0,6181.88,nsw
1,23,12,1,0,1,0,0,5911.551,nsw
1,46,8,1,0,1,1,0,3094.156,nsw
1,24,10,1,0,0,1,0,0,nsw
1,21,12,1,0,0,0,0,1254.582,nsw
1,19,9,0,0,0,1,0,13188.83,nsw
1,17,8,1,0,0,1,0,8061.485,nsw
1,18,8,0,1,1,1,0,2787.96,nsw
1,20,11,1,0,0,1,0,3972.54,nsw
1,25,11,1,0,1,1,0,0,nsw
1,17,8,1,0,0,1,0,0,nsw
1,17,9,1,0,0,1,0,0,nsw
1,25,5,1,0,0,1,0,12187.41,nsw
1,23,12,1,0,0,0,0,4843.176,nsw
1,28,8,1,0,0,1,0,0,nsw
1,31,11,1,0,1,1,0,8087.487,nsw
1,18,11,1,0,0,1,0,0,nsw
1,25,12,1,0,0,0,0,2348.973,nsw
1,30,11,1,0,1,1,0,590.7818,nsw
1,17,10,1,0,0,1,0,0,nsw
1,37,9,1,0,0,1,0,1067.506,nsw
1,41,4,1,0,1,1,0,7284.986,nsw
